,var1(t),var1(t+1),var1(t+2),var1(t+3),var1(t+4),var1(t+5),var1(t+6),var1(t+7),var1(t+8),var1(t+9),var1(t+10),var1(t+11),var1(t+12),var1(t+13),var1(t+14),var1(t+15)
2018-09-09 13:30:00,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393
2018-09-09 13:45:00,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127
2018-09-09 14:00:00,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004
2018-09-09 14:15:00,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995
2018-09-09 14:30:00,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0
2018-09-09 14:45:00,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0
2018-09-09 15:00:00,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0
2018-09-09 15:15:00,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0,0.0
2018-09-09 15:30:00,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0,0.0,0.0
2018-09-09 15:45:00,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09 16:00:00,13.638241,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09 16:15:00,11.249071,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09 16:30:00,8.883841,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09 16:45:00,6.50286,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09 17:00:00,4.34994,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09 17:15:00,2.46393,1.13127,0.27468000000000004,0.01995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-10 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686
2018-09-10 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126
2018-09-10 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809
2018-09-10 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981
2018-09-10 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547
2018-09-10 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547,9.06612
2018-09-10 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547,9.06612,10.231621
2018-09-10 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547,9.06612,10.231621,14.533051
2018-09-10 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547,9.06612,10.231621,14.533051,16.082851
2018-09-10 04:15:00,0.0,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547,9.06612,10.231621,14.533051,16.082851,18.310741
2018-09-10 04:30:00,0.0,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547,9.06612,10.231621,14.533051,16.082851,18.310741,19.547642
2018-09-10 04:45:00,0.0,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547,9.06612,10.231621,14.533051,16.082851,18.310741,19.547642,22.130642
2018-09-10 05:00:00,0.0,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547,9.06612,10.231621,14.533051,16.082851,18.310741,19.547642,22.130642,23.815891
2018-09-10 05:15:00,0.0,0.06972,0.49686,1.26126,2.77809,4.228981,6.80547,9.06612,10.231621,14.533051,16.082851,18.310741,19.547642,22.130642,23.815891,25.52256
